DC_Code,DC_Name,barcode,stock_no,description_1,description_2,category,category_name,total_inventory,shipping_qty,allocate_qty,blocked_qty,available_qty,arrival_qty,expected_inventory,order_point,unit,uodate_date
02,DC02,4560441264059,DP-1852P,高級ワイド木製折りたたみベッド006WDX（ダークブラウン）,,2ES2,エステティック,9,0,0,0,9,5,14,156,PC,2020/07/30 14:16:57

02,DC02,4560441264066,DP-1854P,高級ワイド木製折りたたみベッド006WDX（ベージュ）,,2ES2,エステティック,34,0,0,0,34,0,34,60,PC,2020/08/04 14:25:37

02,DC02,4560441264073,DP-1858P,高級低反発木製折りたたみベッド006SDX（ダークブラウン）,,2ES2,エステティック,41,0,0,0,41,0,41,128,PC,2020/07/21 13:52:18

02,DC02,4560441264097,DP-1860P,高級低反発木製折りたたみベッド006SDX（ベージュ）,,2ES2,エステティック,22,0,0,0,22,44,66,84,PC,2020/08/04 14:27:41

02,DC02,4560441264103,DP-1866P,高級低反発木製折りたたみリクライニングベッド009SDX（ダークブラウン）,,2ES2,エステティック,16,0,0,0,16,14,30,152,PC,2020/08/04 14:28:48

02,DC02,4560441264110,DP-1868P,高級低反発木製折りたたみリクライニングベッド009SDX（ベージュ）,,2ES2,エステティック,12,0,0,0,12,20,32,65,PC,2020/08/04 14:28:19

02,DC02,4560441264127,DP-1848P,高級木製折りたたみベッド006DX（ダークグリーン）,,2ES2,エステティック,2,0,0,0,2,0,2,35,PC,2020/07/06 14:43:36

02,DC02,4560441264141,DP-1844P,高級木製折りたたみベッド006DX（ダークブラウン）,,2ES2,エステティック,35,1,1,0,34,59,93,257,PC,2020/08/03 10:45:21

02,DC02,4560441264165,DP-1846P,高級木製折りたたみベッド006DX（ベージュ）,,2ES2,エステティック,29,0,0,0,29,0,29,110,PC,2020/08/03 10:49:32

02,DC02,4560441264189,DP-1862P,高級木製折りたたみリクライニングベッド009DX（ダークブラウン）,,2ES2,エステティック,43,0,0,0,43,0,43,84,PC,2020/08/04 14:26:34

02,DC02,4560441264196,DP-1864P,高級木製折りたたみリクライニングベッド009DX（ベージュ）,,2ES2,エステティック,26,0,0,0,26,0,26,33,PC,2020/07/31 13:55:19

02,DC02,4560441264806,MI-1551P,【スタイリングウォールミラー】ダークウッド (ノーマルタイプ),,2HA2,理美容・ヘア,77,0,0,0,77,0,77,0,PC,2020/07/20 15:42:30

02,DC02,4560441267456,XG-3222P,ラスティック3段ワゴン（天然木・組立済）ブラウン,,2HA2,理美容・ヘア,276,3,3,0,273,0,273,0,PC,2020/07/17 18:16:42

02,DC02,4560441267463,XG-3224P,ラスティック3段ワゴン（天然木・組立済）ダークブラウン,,2ES2,エステティック,83,0,0,0,83,0,83,0,PC,2020/07/27 14:35:54

02,DC02,4560441267920,BO-0180P,排水ホースセット1500 グレー,,2HA2,理美容・ヘア,290,9,3,0,281,0,281,27,PC,2020/08/04 16:32:25

02,DC02,4560441267937,DE-2671P,高通気性低反発ベッド CLAIRE（クレア）,,2ES2,エステティック,24,0,0,0,24,0,24,117,PC,2020/07/31 17:41:48

02,DC02,4560441267944,AS-1349P,ラグジュアリーネイルチェア,,2NA2,ネイル,16,0,0,0,16,0,16,40,PC,2020/08/03 17:34:14

